"File","Line","Match","Code"
"core\runtime_policy_authority_gate.py","149","PROJECT_RUNTIME.json","runtime = runtime_override or _load_json(root_path / ""PROJECT_RUNTIME.json"")"
"tests\general_runtime_stress_harness_v1.py","49","PROJECT_RUNTIME.json","runtime = json.loads((ROOT / 'PROJECT_RUNTIME.json').read_text(encoding='utf-8'))"
"tools\legacy\era54_canonical_closure_and_index_sync_fix1_launcher_v1.py","71","PROJECT_HISTORY.json","OLD_LOCK_RULE = '''- PROJECT_HISTORY.json is append-only."
"tools\legacy\era54_canonical_closure_and_index_sync_fix1_launcher_v1.py","75","PROJECT_HISTORY.json","NEW_LOCK_RULE = '''- PROJECT_HISTORY.json is append-only."
"tools\legacy\era54_canonical_closure_and_index_sync_noapi_v1.py","22","PROJECT_RUNTIME.json","'PROJECT_RUNTIME.json',"
"tools\legacy\era54_canonical_closure_and_index_sync_noapi_v1.py","23","PROJECT_BOOT.json","'PROJECT_BOOT.json',"
"tools\legacy\era54_canonical_closure_and_index_sync_noapi_v1.py","24","PROJECT_HISTORY.json","'PROJECT_HISTORY.json',"
"tools\legacy\era54_canonical_closure_and_index_sync_noapi_v1.py","29","06_PROJECT_MASTER_STATE.md","'06_PROJECT_MASTER_STATE.md',"
"tools\legacy\era54_canonical_closure_and_index_sync_noapi_v1.py","30","07_PROJECT_HANDOFF.md","'07_PROJECT_HANDOFF.md',"
"tools\legacy\era54_canonical_closure_and_index_sync_noapi_v1.py","63","06_PROJECT_MASTER_STATE.md","- `06_PROJECT_MASTER_STATE.md` — güncel insan-okur proje özeti"
"tools\legacy\era54_canonical_closure_and_index_sync_noapi_v1.py","64","07_PROJECT_HANDOFF.md","- `07_PROJECT_HANDOFF.md` — yeni oturum devam bilgisi"
"tools\legacy\era54_canonical_closure_and_index_sync_noapi_v1.py","68","PROJECT_RUNTIME.json","- `PROJECT_RUNTIME.json` — güncel durumun birincil kaynağı"
"tools\legacy\era54_canonical_closure_and_index_sync_noapi_v1.py","69","PROJECT_BOOT.json","- `PROJECT_BOOT.json` — sabit kimlik, doktrin ve başlangıç sözleşmesi"
"tools\legacy\era54_canonical_closure_and_index_sync_noapi_v1.py","70","PROJECT_HISTORY.json","- `PROJECT_HISTORY.json` — eklemeli tarihsel kayıt; yalnız gerektiğinde okunur"
"tools\legacy\era54_canonical_closure_and_index_sync_noapi_v1.py","79","PROJECT_RUNTIME.json","1. `PROJECT_RUNTIME.json`"
